LMID,Frag_Num,mz,Frag_int,smiles
LMFA01010010,1,109.1079,100,CCCCCCCCCC(=O)O
LMFA01010013,22,51.0233 53.0388 54.0422 54.0451 55.018 56.0215 57.0701 58.0735 77.0386 78.0419 81.0335 82.0367 83.0855 95.0492 95.0854 96.0525 106.0481 138.0436 141.0005 142.0039 158.027 159.0305,0.8 20.3 12.9 0.9 0.8 0.7 11.9 5.8 3.4 3.9 1.9 1.3 0.7 15.3 1.3 17.4 7.4 0.9 74.5 100 43.1 64.2,CCCCCCCCCCCCC(=O)O
LMFA01010013,6,43.0532 47.0121 57.0691 71.0843 83.0856 93.0343,75.7 32.6 100 85.9 93.1 22.1,CCCCCCCCCCCCC(=O)O
LMFA01010013,2,75.0453 169.1019,85.7 8.2,CCCCCCCCCCCCC(=O)O
LMFA01010013,8,46.141 57.0693 89.0595 93.0329 152.993 159.1374 159.1712 215.2,15 100 86.5 65.2 55 57.6 7.3 49.2,CCCCCCCCCCCCC(=O)O
LMFA01010014,9,121.0072 153.1008 159.1385 167.1428 179.0469 191.1808 200.2147 209.1898 229.2164,0.88458 1.1794 0.96883 1.4743 0.80034 1.0952 0.92671 1.7692 100,CCCCCCCCCCCCCC(=O)O
LMFA01010015,5,57.0696 67.0537 69.0705 75.0436 97.1003,91.3978 37.6344 100 44.086 29.0323,CCCCCCCCCCCCCCC(=O)O
LMFA01010015,13,55.0543 57.0697 67.0541 71.0852 75.0434 81.0706 83.0498 89.0594 95.0847 111.0804 117.0907 151.112 173.1553,21.6 81.0667 26.4 100 5.3333 12.2667 15.2 34.6667 12.5333 9.6 5.6 7.4667 4.8,CCCCCCCCCCCCCCC(=O)O
LMFA01010015,25,59.9952 69.0694 71.0852 82.2296 85.1007 87.0436 89.0593 99.1175 103.0759 107.0853 109.0654 111.1173 117.092 121.1009 125.0464 140.1164 145.1209 173.1548 194.1032 199.0161 205.1952 207.2123 223.2053 226.0982 243.232,0.74043 1.9886 5.7753 0.69812 1.7347 0.69812 1.3328 0.40195 2.1578 0.38079 0.48657 0.52888 0.46541 1.2905 0.76158 0.46541 0.59234 0.52888 0.88851 0.80389 0.67696 0.4231 0.69812 0.50772 100,CCCCCCCCCCCCCCC(=O)O
LMFA01010015,40,41.0385 41.0627 43.0174 43.0535 43.0795 55.0166 55.0541 55.0828 57.0702 57.0997 68.0569 69.0698 71.0858 72.0504 75.0418 81.068 82.0734 83.0554 83.0848 84.0855 84.1069 85.0631 85.101 89.0602 95.0853 97.0629 101.0602 103.0725 111.078 119.0835 121.0611 123.0833 137.1322 149.0973 149.1317 153.0749 159.0813 173.1498 211.2112 226.1863,48.4 1 5.4 100 1.6 14.4 46.2 1 77.9 1.7 5.8 16.8 23.7 5.4 8.6 13 7.9 0.7 18 3.9 0.5 12.5 21.7 14.9 6.3 6.1 3.5 10.2 6.9 2.7 3 6.7 2.4 1.6 2.8 1.4 1.1 3.1 1 2.8,CCCCCCCCCCCCCCC(=O)O
LMFA01010015,19,41.0383 42.0425 43.0541 45.0333 47.0129 55.0532 57.0321 57.0695 57.1207 66.0676 67.0541 69.0688 71.0493 77.0399 89.0569 93.032 97.1003 119.2304 153.0676,30 1.2 83.5 2 4.7 64.2 15.3 100 0.5 3 40.9 14.2 6.8 14.9 11.2 13.1 3.7 0.7 12,CCCCCCCCCCCCCCC(=O)O
LMFA01010015,48,41.0392 43.054 55.0545 57.0326 57.0693 69.0695 71.0497 71.0854 71.1754 75.0433 81.0685 83.0477 83.0872 85.1021 89.0582 95.0845 97.101 103.0758 107.0846 109.1028 111.0423 113.094 114.0976 117.0907 121.0281 121.0994 122.0634 125.0964 131.1045 135.1192 137.0924 145.0997 145.1245 149.1307 151.1482 159.1377 163.1456 169.1029 173.1501 177.1645 183.0256 183.1387 190.1304 193.156 194.162 201.1859 215.0098 243.2327,4.5 23.9 9 4.2 44.5 20.6 4.6 27.4 0.5 2.4 1.3 4.6 10 21 9.7 6.5 5.2 15.8 3 2.9 1.4 4.7 1.1 9.9 2.3 1.1 1.4 5 0.7 1.2 2 3.3 2.6 2.4 2.9 14.3 2.3 2.6 2.7 4.4 0.5 2.5 1.2 5.4 0.6 5.8 1.3 100,CCCCCCCCCCCCCCC(=O)O
LMFA01010017,17,95.0911 104.0355 105.0716 109.0955 109.097 111.0745 124.0882 154.0737 183.1717 183.1736 197.1279 240.2358 240.238 254.2512 254.2579 271.272 271.2743,5.0239 4.3062 4.3062 5.0239 5.0239 4.3062 4.3062 4.3062 5.0239 5.0239 4.3062 5.0239 9.9282 5.0239 5.0239 20.0957 10.0478,CCCCCCCCCCCCCCCCC(=O)O
LMFA01010024,1,105.097,100,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O
LMFA01010024,1,105.097,100,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O
LMFA01020008,4,67.0544 69.0699 79.0537 83.0858,32.0513 100 66.6667 39.7436,CCC(C)CCCCCCCCCCC(=O)O
LMFA01020008,15,67.0538 69.0692 81.0692 83.0486 85.1008 93.0698 95.0861 103.0755 108.094 137.1329 154.1301 163.1117 163.1432 187.1699 243.2326,10.5263 100 28.7081 27.2727 80.3828 20.5742 9.5694 22.0096 25.8373 13.8756 11.9617 8.6124 21.5311 9.0909 44.0191,CCC(C)CCCCCCCCCCC(=O)O
LMFA01020008,17,57.0695 69.07 71.0491 71.0854 85.1004 89.059 101.0591 109.1021 171.1384 177.1624 181.1569 187.1705 191.1418 195.1383 221.1922 223.2054 243.2318,3.8952 0.68942 1.4133 4.2744 3.7918 1.0341 1.3444 0.65495 0.93071 0.65495 0.62048 3.6884 0.8273 1.5167 0.65495 0.86177 100,CCC(C)CCCCCCCCCCC(=O)O
LMFA01020009,3,67.0541 69.0693 71.0485,100 84.7059 31.7647,CC(C)CCCCCCCCCCCC(=O)O
LMFA01020009,14,69.0696 73.0654 75.0439 79.0549 85.1009 89.0589 95.0851 97.0656 103.0752 109.1019 133.1598 182.0817 200.1184 243.233,100 9.7561 15.4472 7.3171 46.748 58.9431 39.4309 21.5447 15.4472 17.4797 8.5366 9.7561 14.2276 13.4146,CC(C)CCCCCCCCCCCC(=O)O
LMFA01020009,13,79.0751 88.1245 95.085 97.1016 100.2188 121.1019 139.1115 157.1236 179.1417 205.1964 213.1848 225.2231 243.232,0.63559 1.2006 1.4831 0.70622 0.6709 0.9887 0.88277 2.2246 0.91808 1.0593 1.2359 0.74152 100,CC(C)CCCCCCCCCCCC(=O)O
LMFA01020010,181,51.1405 51.1671 51.2167 53.0029 53.0393 55.0185 55.0549 56.0583 56.0716 57.0342 57.0706 58.0861 59.0498 59.9909 60.1965 61.0113 62.0191 63.9984 65.0392 67.0185 67.0548 68.0582 68.9977 69.0341 69.0684 69.0705 70.0739 71.0497 71.0861 73.0655 77.0061 77.1848 78.0139 79.0184 79.0217 79.0547 80.058 81.034 81.0703 82.0375 82.0737 83.013 83.0497 83.086 85.0289 85.0652 85.1016 87.0447 88.2226 89.0601 90.0636 91.0546 92.026 92.058 92.2484 93.0339 93.0702 94.0735 95.0494 95.0858 96.0892 97.0651 97.1015 99.0442 99.0806 101.0033 103.0545 103.9862 105.0338 105.0701 106.0733 107.013 107.0494 107.0857 108.089 109.0286 109.0649 109.1013 110.0712 110.1047 110.1647 111.0442 111.0805 113.0599 115.0543 116.0705 117.0699 119.0192 119.0492 119.0814 119.0855 120.0204 121.0284 121.0649 121.1012 123.0803 123.1169 124.0906 124.9997 125.0597 125.0962 126.2372 128.0162 128.062 129.0698 130.078 131.0491 131.0854 132.0048 132.0889 133.0646 133.1011 135.0437 135.0802 135.1168 135.9996 136.9923 137.0005 137.0114 137.0957 139.054 140.0341 141.0699 142.0776 142.1909 143.0853 145.0645 145.1009 146.1171 146.1345 147.0436 147.0805 147.1167 148.027 149.012 150.0152 151.0079 151.0161 151.9864 151.9984 152.2229 152.9893 153.0067 153.0696 154.01 154.0771 155.0107 155.0219 155.0488 155.0852 156.0932 156.9997 157.0645 157.1011 158.0122 159.0439 159.0801 159.1165 161.0596 163.0275 167.0225 167.085 168.0573 169.101 170.0088 171.0161 171.0798 171.1166 173.0595 173.0958 173.1326 175.1599 184.0519 185.0596 185.096 187.1126 196.0028 196.9959 199.1468 211.1119 212.0263,0.048096 0.031338 0.016433 0.3284 0.28926 0.81547 7.6435 0.043049 0.022847 0.20436 5.0971 0.014218 0.56198 0.022458 0.02391 2.2379 0.71563 0.014785 0.9082 0.023517 6.6227 0.16558 0.88641 0.36442 0.070174 6.5306 0.076952 0.76 1.2992 0.038424 0.12252 0.037397 0.17355 2.1414 1.2056 3.446 0.019731 0.26509 6.9087 0.041277 0.26662 0.016755 0.66392 2.3466 0.05394 0.35049 0.047935 0.042749 0.015698 3.3247 0.016049 2.5403 0.079455 0.016706 0.014103 0.065178 3.2554 0.027404 0.93856 5.7576 0.32981 0.73255 0.65973 0.020198 0.021103 0.059069 0.47676 0.014104 0.49553 2.7921 0.019417 0.13093 0.17206 2.1067 0.022149 0.22831 0.33531 1.3932 0.093301 0.045302 0.026073 0.071363 0.19181 0.01875 0.75126 0.021986 1.2571 0.01958 0.10123 0.037233 1.5299 0.052387 0.18829 0.4303 0.80093 0.19836 0.17812 0.027176 2.6856 0.016903 0.021686 0.031167 0.023493 0.8622 0.96509 0.057026 0.62173 1.2069 0.22616 0.019283 0.13968 0.61976 0.047045 0.018097 0.020059 14.1758 4.2593 2.9907 2.9142 0.021695 0.076404 0.017068 0.12573 0.22392 0.028406 0.57338 0.89043 0.82465 0.049439 0.019606 0.64683 0.053379 0.15379 0.021255 5.447 0.69094 0.055538 0.064429 3.4712 0.8528 0.048606 0.059497 15.43 0.022039 2.1879 0.017276 0.30719 2.1351 0.30527 0.23195 0.062761 1.5397 0.43096 0.32448 0.2018 0.19341 0.18768 0.21825 0.072366 0.035969 1.0494 0.075226 0.017095 0.090036 0.44426 0.031714 0.027211 0.14414 0.37348 0.04948 0.042303 0.016966 0.024801 0.10335 0.02798 0.020775 0.10696 0.0646 0.017207 0.036108 0.020625,CC(C)CCCCCCCCCCCCC(=O)O
