LMID,Frag_Num,mz,Frag_int,smiles
LMFA01100047,23,86.0963 69.0699 53.0025 57.0575 58.0654 56.0497 67.0543 73.0647 55.0545 91.0541 59.0493 53.9977 74.0964 97.0075 55.0181 71.0729 70.0651 72.0442 99.0803 72.0807 86.1175 86.0752 97.0647,100 54.23 3.65 3.61 2.87 1.31 0.96 0.81 0.41 0.32 0.32 0.28 0.21 0.18 0.18 0.17 0.12 0.11 0.1 0.09 0.07 0.07 0.07,CCC(C)C(N)C(=O)O
LMFA01100047,17,86.0963 69.0699 58.0654 53.0025 132.1018 57.0575 56.0497 73.0647 67.0543 91.0541 74.0964 86.0752 122.0191 86.1175 86.0942 59.0493 55.0545,100 20.24 0.67 0.54 0.5 0.44 0.24 0.23 0.21 0.14 0.09 0.08 0.07 0.07 0.07 0.06 0.06,CCC(C)C(N)C(=O)O
LMFA01100047,15,86.0963 69.0699 132.1018 58.0653 53.0025 57.0575 56.0496 91.0541 73.0648 67.0543 86.0751 122.0191 74.0964 86.1178 86.117,100 10.02 1.89 0.28 0.2 0.19 0.15 0.12 0.11 0.09 0.08 0.08 0.07 0.06 0.05,CCC(C)C(N)C(=O)O
LMFA01100047,15,86.0963 69.0699 132.1018 58.0654 53.0025 86.0942 57.0575 56.0496 91.0542 73.0648 122.0191 67.0543 86.0752 86.1177 74.0964,100 8.35 2.45 0.24 0.18 0.17 0.16 0.15 0.1 0.09 0.08 0.07 0.07 0.07 0.06,CCC(C)C(N)C(=O)O
LMFA01100047,15,86.0963 69.0699 132.1018 58.0654 57.0575 53.0025 56.0496 73.0648 91.0541 86.0942 86.0752 74.0964 122.0191 67.0543 86.1175,100 8.28 2.48 0.24 0.16 0.15 0.14 0.1 0.1 0.1 0.08 0.07 0.07 0.07 0.06,CCC(C)C(N)C(=O)O
LMFA01100047,34,28.0158 30.0324 38.0133 39.0223 39.049 41.0375 41.065 41.0825 42.0088 42.0331 42.0608 43.0174 43.0403 43.0533 44.0109 44.0486 44.0774 44.1111 44.9966 45.0328 55.0532 56.0489 56.0913 57.0566 57.0883 58.0387 58.0642 59.0476 67.0405 67.0503 69.0683 70.0653 71.0739 86.0968,1.08 5.41 0.78 23 0.99 97.25 4.26 0.87 1.26 15.6 0.7 1.52 0.58 4.59 1.33 100 4.33 0.54 1.03 16.63 3.06 47.52 1.12 44.34 1.61 0.9 6.99 0.54 1.34 1.48 2.86 1.77 4.34 1.88,CCC(C)C(N)C(=O)O
LMFA01100047,29,30.0327 30.056 39.0222 41.0374 41.0743 41.082 41.0941 43.0177 43.054 44.0484 44.0773 45.0328 55.0147 55.0541 56.0489 57.0572 57.0896 58.0648 58.0955 59.0494 67.0543 68.0487 69.0693 70.0663 71.0737 73.065 86.0579 86.0963 97.0611,5.62 0.3 0.87 32.56 1.07 0.42 0.21 0.26 1.39 66.49 3.19 2.93 0.15 0.96 1.77 5.95 0.27 4.55 0.18 0.74 0.6 0.34 66.42 0.25 0.2 0.7 0.19 100 0.23,CCC(C)C(N)C(=O)O
LMFA01100047,17,30.0318 41.0381 43.0542 44.0486 44.0761 45.0307 55.0539 57.0571 58.0643 69.069 86.0646 86.0967 87.0021 87.0986 97.0616 115.0765 132.1015,0.62 1.3 0.08 2.5 0.09 0.26 0.09 0.43 0.32 8.35 0.15 100 0.17 0.21 0.21 0.14 3.14,CCC(C)C(N)C(=O)O
LMFA01100047,2,69.0226 86.0329,0.17271 100,CCC(C)C(N)C(=O)O
LMFA01100047,1,69.0591,0.17411,CCC(C)C(N)C(=O)O
LMFA01100047,5,43.054 45.035 58.06 70.068 88.071,6 18 6 12 6,CCC(C)C(N)C(=O)O
LMFA01100047,3,69.0706 86.097 132.1019,11.3727 100 1.0818,CCC(C)C(N)C(=O)O
LMFA01100047,4,55.0648 69.0706 86.0967 132.1022,0.38258 4.1681 100 4.3565,CCC(C)C(N)C(=O)O
LMFA01100047,3,69.0705 86.0967 132.1022,3.511 100 3.7023,CCC(C)C(N)C(=O)O
LMFA01100047,13,86.0966 132.0926 132.0937 132.095 132.096 132.0972 132.0984 132.1024 132.1062 132.1075 132.1087 132.1097 132.111,18.0687 0.47781 0.47369 0.67672 0.52178 0.79984 0.77275 100 0.46416 0.74203 0.79299 0.51036 0.59684,CCC(C)C(N)C(=O)O
LMFA01100047,11,69.0704 86.0923 86.0927 86.0935 86.0945 86.0965 86.0981 86.0993 86.0999 86.1011 132.1026,0.45723 0.45627 0.60623 0.49133 0.77662 100 0.70644 0.60696 0.64619 0.47831 7.0483,CCC(C)C(N)C(=O)O
LMFA01100047,2,69.0703 86.0966,7.6878 100,CCC(C)C(N)C(=O)O
LMFA01100047,2,86.0965 132.1025,100 59.2712,CCC(C)C(N)C(=O)O
LMFA01100047,14,86.0953 86.0967 132.0927 132.0937 132.0949 132.096 132.0972 132.0984 132.1025 132.1063 132.1075 132.1086 132.1098 132.1109,0.44403 18.3713 0.49122 0.4307 0.60507 0.58562 0.6909 0.60562 100 0.51993 0.67419 0.59906 0.6272 0.54779,CCC(C)C(N)C(=O)O
LMFA01100047,2,69.0702 86.0965,8.169 100,CCC(C)C(N)C(=O)O
LMFA01100047,3,69.0703 86.0966 132.1024,6.7085 100 1.7435,CCC(C)C(N)C(=O)O
LMFA01100047,5,86.0927 86.0965 86.0987 86.0999 132.1026,0.5954 100 0.66756 0.67501 9.0498,CCC(C)C(N)C(=O)O
LMFA01100047,2,86.0965 132.1025,100 59.7998,CCC(C)C(N)C(=O)O
LMFA01100047,2,86.0966 132.1026,100 99.3905,CCC(C)C(N)C(=O)O
LMFA01100047,2,86.0965 132.1025,87.3696 100,CCC(C)C(N)C(=O)O
LMFA01100047,2,86.0966 132.1025,60.6439 100,CCC(C)C(N)C(=O)O
LMFA01100047,4,69.07 86.0964 122.0194 132.1019,2.5172 100 0.43765 2.7443,CCC(C)C(N)C(=O)O
LMFA01100047,26,56.0503 61.0626 69.0706 70.0658 72.0451 72.0814 84.0813 85.0847 86.0605 86.0818 86.088 86.0908 86.0969 87.1003 88.0762 89.0601 90.0555 95.0164 100.0759 101.0794 105.0701 114.0917 118.0932 120.0116 132.0907 132.1019,0.7617 0.34843 1.7134 2.1836 0.8346 2.967 100 18.8324 0.49827 4.4158 30.0611 1.3439 32.9259 0.61907 14.5839 0.48374 1.8334 0.64218 0.60488 0.58215 0.62287 4.3314 0.45044 0.50818 65.0095 4.9542,CCC(C)C(N)C(=O)O
LMFA01100047,2,130.0846 132.1004,7.907 100,CCC(C)C(N)C(=O)O
LMFA01100048,5,55.0178 59.0494 73.0275 75.0314 86.0968,35.6383 10.6383 20.7447 40.9574 100,CC(C)CC(N)C(=O)O
LMFA01100048,8,55.0545 69.0693 72.044 73.0266 73.063 86.0961 96.0081 97.0615,0.14501 2.376 0.10411 0.33093 0.33837 100 0.12642 0.15989,CC(C)CC(N)C(=O)O
LMFA01100048,2,86.096 132.1013,100 2.7394,CC(C)CC(N)C(=O)O
LMFA01100048,1,132.1007,100,CC(C)CC(N)C(=O)O
LMFA01100048,6,86.0636 86.0969 86.1148 87.0964 87.1009 132.1024,1.0322 100 1.5179 3.2787 0.91075 32.544,CC(C)CC(N)C(=O)O
LMFA01100048,19,39.024 41.04 42.029 43.019 43.055 44.052 45.034 53.046 55.021 55.057 56.053 57.061 58.046 59.051 67.06 69.072 73.03 73.066 86.1,8.112 49.1719 0.10392 0.42216 60.5053 100 1.2795 0.70793 5.0205 7.5729 1.3899 1.9484 0.23381 0.30525 0.23381 2.5265 0.77288 0.85731 5.54,CC(C)CC(N)C(=O)O
LMFA01100048,11,39.023 41.04 43.056 44.052 55.057 57.072 58.068 69.073 73.066 86.099 132.104,0.26564 2.7062 9.1689 21.8263 0.4112 0.16375 0.10674 4.0526 0.5046 100 0.13464,CC(C)CC(N)C(=O)O
LMFA01100048,2,86.099 132.106,100 13.587,CC(C)CC(N)C(=O)O
LMFA01100048,3,86.0965 87.0999 132.102,100 1.6 1,CC(C)CC(N)C(=O)O
LMFA01100048,2,86.0964 132.1019,100 2.3,CC(C)CC(N)C(=O)O
LMFA01100048,4,58.0652 69.07 86.0964 132.1017,0.6 11.6 100 1.6,CC(C)CC(N)C(=O)O
LMFA01100048,5,44.0515 44.0595 86.0979 86.1092 132.1004,7.4 4.8 100 55.3 5.2,CC(C)CC(N)C(=O)O
LMFA01100048,16,41.0471 41.0564 43.0564 43.0707 43.1007 44.0506 44.0631 44.0776 44.0869 45.0358 56.0496 56.0625 56.0808 57.0372 77.0407 77.0662,24 3.8 100 24.2 1.5 46.7 19.1 0.9 1 10 19.4 15.9 0.5 2.7 24 1.5,CC(C)CC(N)C(=O)O
LMFA01100048,18,39.0249 39.0397 41.0424 41.0485 43.0562 43.0639 43.0793 43.0911 44.0509 44.0591 44.0868 55.0554 55.0731 57.0714 69.0718 69.0878 86.0976 86.109,7.2 1.5 5.2 5.5 77.5 53.2 3.8 2.7 100 42.3 2.2 3.6 1.1 1.9 15.7 4 85.9 52.7,CC(C)CC(N)C(=O)O
LMFA01100048,11,41.0409 41.0578 43.054 43.0788 44.0498 44.0603 44.0789 45.036 45.0701 55.0186 55.0442,15.2 2.7 35.2 2 100 23.7 2.4 9.7 0.9 34.5 4.5,CC(C)CC(N)C(=O)O
LMFA01100048,14,43.0566 43.0629 43.0907 44.0511 44.0605 44.0864 45.0355 45.0492 45.0602 55.0571 55.0648 55.0751 86.0981 86.1082,45.1 34.6 1.3 100 37.6 1.7 29.7 7.2 2 10.3 9.8 2 39.4 26.9,CC(C)CC(N)C(=O)O
LMFA01100048,8,43.0543 44.0634 59.9924 60.0085 86.0974 86.1092 90.0731 132.1028,1.2 3.6 4 1.3 100 46.1 0.5 9.6,CC(C)CC(N)C(=O)O
LMFA01100048,12,39.0252 41.0405 44.0521 44.0781 44.0874 45.0363 55.0585 56.0526 56.0849 57.0608 57.0919 70.0675,35.4 24.3 100 1.9 1.8 23.1 12.9 40.3 1.1 48.4 1.1 7.5,CC(C)CC(N)C(=O)O
LMFA01100048,9,41.0411 41.0641 43.0567 44.0516 44.0777 55.0563 57.0599 69.0732 86.1,32.6 0.6 11.9 98.5 2.5 4.4 10.4 100 99.7,CC(C)CC(N)C(=O)O
LMFA01100048,5,44.0515 56.0529 69.0731 86.0996 132.1037,4.3 0.8 6.1 100 0.9,CC(C)CC(N)C(=O)O
LMFA01100048,10,39.0236 41.0393 41.0635 43.0547 43.0803 44.0505 44.0761 44.1042 55.0177 55.0554,11.1 59.8 2 95 2.8 100 3.6 0.8 4.2 4,CC(C)CC(N)C(=O)O
LMFA01100048,4,43.0543 44.0504 86.0976 132.1033,3 6.4 100 1.2,CC(C)CC(N)C(=O)O
LMFA01100048,12,30.0341 41.039 43.0549 43.0804 44.05 44.0849 44.1118 55.0532 69.0706 73.0288 86.0975 104.0107,1.1 8.5 67.1 2.3 100 3.1 0.5 0.7 5.8 1.2 45.5 0.6,CC(C)CC(N)C(=O)O
LMFA01100048,17,51.062 55.018 55.054 55.055 56.04 59.992 61.073 67.063 69.066 69.07 70.065 70.066 73.065 83.045 86.096 86.097 107.013,0.00052149 0.0024569 0.0078576 0.0011267 0.00045756 0.00040283 0.00038859 0.00043261 0.00039822 0.051899 0.0080886 0.00048086 0.0066698 0.00041693 1 0.050846 0.00042688,CC(C)CC(N)C(=O)O
LMFA01100048,29,86.0964 53.0026 69.07 55.0546 55.0182 53.9978 73.0648 91.0542 73.0284 57.0576 97.0076 72.0808 57.0702 56.0498 58.0654 74.0964 59.0494 65.0387 67.0543 72.0444 53.0389 70.0652 71.0492 52.0186 83.0855 88.1121 54.0104 97.0094 68.9972,100 41.23 11.55 5.16 4.34 3.27 2.42 1.54 1.29 1.17 1.07 0.92 0.82 0.81 0.7 0.66 0.58 0.53 0.44 0.44 0.22 0.17 0.13 0.13 0.12 0.12 0.12 0.1 0.1,CC(C)CC(N)C(=O)O
LMFA01100048,17,86.0964 53.0025 69.0699 73.0648 55.0545 55.0181 91.0542 53.9978 73.0284 72.0808 58.0654 74.0964 57.0701 97.0076 56.0497 67.0543 57.0576,100 6.13 4.2 0.58 0.53 0.5 0.5 0.45 0.3 0.26 0.25 0.2 0.19 0.14 0.12 0.12 0.1,CC(C)CC(N)C(=O)O
LMFA01100048,9,86.0963 69.0699 53.0025 132.1018 86.0942 91.0542 73.0648 74.0964 72.0808,100 1.01 0.76 0.7 0.39 0.18 0.16 0.13 0.1,CC(C)CC(N)C(=O)O
LMFA01100048,8,86.0963 132.1018 69.0699 53.0025 91.0541 74.0964 86.1176 73.0648,100 2.48 0.43 0.23 0.12 0.1 0.08 0.07,CC(C)CC(N)C(=O)O
LMFA01100048,9,86.0963 132.1018 69.0699 86.0942 53.0025 74.0964 91.0541 86.0751 86.1175,100 3.13 0.34 0.21 0.19 0.1 0.1 0.08 0.06,CC(C)CC(N)C(=O)O
LMFA01100048,10,86.0963 132.1018 69.0699 86.0942 53.0025 74.0964 91.0542 86.075 86.1173 73.0648,100 3.21 0.35 0.25 0.18 0.1 0.1 0.08 0.08 0.08,CC(C)CC(N)C(=O)O
LMFA01100048,17,27.0209 29.0364 39.0217 41.0372 41.0745 41.0811 43.0171 43.0531 43.0812 43.098 44.0486 44.0773 45.0316 55.0173 55.053 56.0479 69.0558,0.72 0.82 4.67 83.2 2.53 1.02 0.67 84.43 3.96 1.31 100 4.46 0.51 1.76 3.25 0.62 0.72,CC(C)CC(N)C(=O)O
LMFA01100048,12,30.032 30.0557 30.1032 41.0378 43.0533 44.0484 44.0856 69.0688 86.0758 86.0969 97.0595 132.1024,5.37 0.2 0.06 0.34 2.24 6.17 0.12 0.22 0.26 100 0.1 6.62,CC(C)CC(N)C(=O)O
LMFA01100048,19,30.032 30.0557 39.0214 41.0376 41.0648 43.0111 43.053 43.0811 43.0984 44.0484 44.0771 45.0317 55.0174 55.0535 57.0686 69.0691 73.0273 73.0641 86.0958,18.41 0.69 0.71 9.01 0.41 0.32 62.03 3.2 0.8 100 4.67 0.34 1.02 1.18 0.82 3.73 0.6 0.4 86.35,CC(C)CC(N)C(=O)O
LMFA01100048,1,86.0408,100,CC(C)CC(N)C(=O)O
LMFA01100048,6,41.0421 43.0568 44.0534 69.0626 69.0696 86.0948,33.5894 86.2263 100 1.0753 2.1505 74.552,CC(C)CC(N)C(=O)O
LMFA01100048,4,53.0397 82.0994 86.097 87.0444,4.8458 5.4742 100 5.5301,CC(C)CC(N)C(=O)O
LMFA01100048,6,69.0706 86.097 87.1002 88.0761 100.0438 132.1018,0.084183 100 1.9534 0.15063 0.078197 4.7928,CC(C)CC(N)C(=O)O
LMFA01100048,9,86.0948 86.0964 132.0931 132.0944 132.0954 132.0966 132.0978 132.1019 132.1059,1.5026 43.0558 0.60655 0.4622 0.5346 0.60462 0.77246 100 0.44507,CC(C)CC(N)C(=O)O
LMFA01100048,3,69.07 86.0948 86.0964,3.2257 3.7851 100,CC(C)CC(N)C(=O)O
LMFA01100048,3,86.0944 86.0964 132.1019,3.9643 100 9.2476,CC(C)CC(N)C(=O)O
LMFA01100048,4,69.07 86.0946 86.0964 132.1017,2.9668 4.7137 100 5.491,CC(C)CC(N)C(=O)O
LMFA01100048,4,73.0252 86.0937 86.0948 86.0964,0.61633 1.1855 2.8221 100,CC(C)CC(N)C(=O)O
LMFA01100048,4,86.0937 86.0946 86.0963 132.1018,1.0165 3.2729 100 5.4517,CC(C)CC(N)C(=O)O
LMFA01100048,5,69.07 77.062 86.0949 86.0964 132.1019,2.9989 2.0216 2.4949 100 20.4218,CC(C)CC(N)C(=O)O
LMFA01100048,7,86.0946 86.0964 132.0945 132.1019 132.106 132.1082 132.1092,1.5436 43.2626 0.64938 100 0.52006 0.64248 0.4999,CC(C)CC(N)C(=O)O
LMFA01100048,5,62.1089 86.0937 86.0947 86.0963 132.1016,0.72516 1.2445 3.7351 100 4.109,CC(C)CC(N)C(=O)O
LMFA01100048,4,86.0937 86.0949 86.0963 132.1017,1.2378 2.3591 100 4.7319,CC(C)CC(N)C(=O)O
LMFA01100048,6,69.0706 86.097 87.1002 88.0761 100.0438 132.1018,0.084183 100 1.9534 0.15063 0.078197 4.7928,CC(C)CC(N)C(=O)O
LMFA01100051,6,58.0654 59.0606 70.0288 76.0394 88.0394 105.0659,1.1 30.5 6.1 6.7 100 5.4,NCC(N)C(=O)O
LMFA01100051,6,58.0292 59.0606 70.0288 76.0393 88.0393 105.0659,0.7 27.6 12.1 4.5 100 5.5,NCC(N)C(=O)O
LMFA01100051,7,42.034 42.042 42.0511 43.0415 51.0238 51.04 51.0538,100 75.6 17.4 17.3 15.7 2.7 0.6,NCC(N)C(=O)O
LMFA01100051,10,42.0343 42.0427 59.0609 59.0691 70.0284 70.0546 76.0376 76.0495 76.0606 88.0382,19.3 12.8 68.9 37.8 45.2 2.3 7.2 3.7 0.6 100,NCC(N)C(=O)O
LMFA01100051,13,42.0339 42.0421 58.0267 58.0413 59.0605 59.0709 70.0296 70.0475 70.0592 76.0402 76.0514 88.0383 88.0549,100 63.1 5.4 2.9 35.1 42 45.5 9.2 0.9 4.9 5.7 34.4 9.5,NCC(N)C(=O)O
LMFA01100051,10,42.0332 43.0173 43.0411 44.0487 44.9966 46.0286 47.0111 58.028 59.0591 70.0298,100 14.1 3.9 6.1 13.5 2.9 1 10.1 0.7 0.8,NCC(N)C(=O)O
LMFA01100051,13,42.0333 43.0175 43.0409 44.0493 44.9961 46.0277 58.0282 59.06 60.0445 70.0287 70.0606 76.0382 88.0396,100 3.6 0.7 5.5 1.1 1.7 17.4 50.7 1.6 47.1 0.7 11.2 18.7,NCC(N)C(=O)O
LMFA01100051,10,42.0332 44.0493 44.9963 58.0281 59.0601 70.0288 70.0606 76.0385 88.0394 105.066,23.4 1.6 0.8 2.5 48.7 40.5 0.6 9.5 100 4.8,NCC(N)C(=O)O
LMFA01100051,11,58.029 59.06 59.061 60.044 60.045 70.029 76.039 76.04 88.034 88.039 88.04,0.30731 0.90548 0.2237 0.040191 0.0095229 0.23762 0.19625 0.056364 0.018058 1 0.27816,NCC(N)C(=O)O
LMFA01100051,8,28.016 30.033 42.0332 43.0171 43.0407 44.0481 46.0293 59.0594,6.19 4.21 100 3.57 5.42 13.14 2.89 3.6,NCC(N)C(=O)O
LMFA01100051,11,30.0331 42.033 43.0165 43.039 58.0287 59.0606 59.0821 70.0282 76.0393 88.0378 105.0674,3.88 100 2.69 2.51 8.32 38.89 2.53 26.02 10.53 12.31 2.35,NCC(N)C(=O)O
LMFA01100051,10,30.0315 42.0331 44.048 58.0293 59.0597 70.0294 76.0397 88.0176 88.0388 105.0664,1.06 19.59 2.4 2.17 60.99 14.4 9.11 0.74 100 16.03,NCC(N)C(=O)O
LMFA01100051,12,58.0296 59.0612 60.0452 70.0294 76.0377 76.0399 79.0548 88.0398 88.0676 89.043 105.0661 105.07,0.3884 25.9532 0.15597 4.2965 0.15482 4.5472 0.089264 100 0.13586 0.72287 9.1137 0.85692,NCC(N)C(=O)O
LMFA01100053,4,58.0656 59.0503 87.0447 104.0711,100 10.1012 6.0574 71.0911,CC(C)(N)C(=O)O
LMFA01100053,4,58.0656 59.0503 87.0447 104.0711,100 10.1012 6.0574 71.0911,CC(C)(N)C(=O)O
LMFA01100053,5,58.0654 59.0493 59.0687 87.044 104.0705,100 2.2 1.6 1.2 2.9,CC(C)(N)C(=O)O
LMFA01100053,3,58.0654 59.0493 104.0705,100 1.5 2.5,CC(C)(N)C(=O)O
LMFA01100053,12,41.0393 43.0232 43.0419 43.0521 45.0368 58.0675 58.0768 59.0499 59.0591 59.0732 87.0453 87.0652,9.9 1.4 1.5 0.7 9.4 100 54.7 18.3 9.8 1.9 3.6 0.9,CC(C)(N)C(=O)O
LMFA01100053,14,39.0253 39.0494 41.041 41.056 41.0671 42.0357 42.0439 42.0612 43.0547 44.0283 44.043 58.068 58.0853 59.0496,29.9 2.5 89.4 18.2 1.5 71.3 53.7 1.5 23.5 34.5 10 100 17.6 45.7,CC(C)(N)C(=O)O
LMFA01100053,8,45.0357 46.0769 58.0674 58.0767 59.0518 59.0658 87.0474 104.072,0.9 0.7 100 56.6 2.7 0.7 1.7 5.7,CC(C)(N)C(=O)O
LMFA01100053,7,58.065 59.049 59.053 69.033 69.034 75.076 87.044,1 0.1085 0.0016279 0.0012368 0.00085669 0.00027209 0.0020778,CC(C)(N)C(=O)O
LMFA01100053,19,30.032 31.0152 38.0137 39.0214 39.0486 41.0232 41.0376 41.0647 42.0331 42.0605 43.017 43.0405 44.0484 44.9965 45.0329 56.0482 57.0557 58.0644 59.0489,1.37 5.24 1.77 26.96 0.81 1.3 47.88 1.68 38.41 1.36 15.68 45.84 0.73 16.19 15.66 0.75 2.14 100 11.93,CC(C)(N)C(=O)O
LMFA01100053,18,30.0328 31.0165 37.0052 39.0212 41.0376 42.0327 43.0171 43.0411 44.0492 44.9963 45.0326 58.0643 59.0165 59.0337 59.0485 59.0816 69.0326 87.0428,0.27 0.51 0.16 0.29 4.41 0.33 0.98 1.73 0.12 0.41 3.48 100 0.11 0.1 14.05 0.59 0.36 0.16,CC(C)(N)C(=O)O
LMFA01100053,15,39.0216 41.0375 42.0331 43.0409 44.996 45.032 58.0449 58.0644 58.9967 59.0483 59.0829 69.0323 86.0577 87.0432 104.0701,0.23 0.7 0.09 0.16 0.18 0.26 0.17 100 0.06 2.2 0.07 0.27 0.11 0.64 4.39,CC(C)(N)C(=O)O
LMFA01100053,9,58.0505 58.066 58.0809 59.0499 59.0693 64.0331 86.0606 87.0445 104.0708,0.080973 100 0.24462 1.6872 0.25308 0.057186 0.066358 0.97062 7.8014,CC(C)(N)C(=O)O
LMFA01100053,10,53.003 58.0509 58.066 58.0805 59.0499 59.0693 69.0343 86.0606 87.0445 104.0709,0.056222 0.14031 100 0.10824 1.588 0.28568 0.080331 0.082324 1.1613 7.4973,CC(C)(N)C(=O)O
LMFA01100053,10,58.0659 59.0499 59.0546 59.0693 59.0722 60.0533 72.0511 88.0477 88.076 104.0705,44.1987 0.47723 0.23875 100 3.5936 1.3633 0.1768 1.1433 2.6277 0.23144,CC(C)(N)C(=O)O
LMFA01100053,11,58.0512 58.066 58.08 58.0813 59.0499 59.0692 69.0342 86.0604 87.0444 87.0639 104.0708,0.23441 100 0.11829 0.10482 1.6641 0.26721 0.060632 0.21227 0.90884 0.068417 8.1569,CC(C)(N)C(=O)O
LMFA01100053,9,58.0505 58.066 58.0809 59.0499 59.0693 64.0331 86.0606 87.0445 104.0708,0.080973 100 0.24462 1.6872 0.25308 0.057186 0.066358 0.97062 7.8014,CC(C)(N)C(=O)O
LMFA01100054,2,86.0594 104.0711,32.29 49.84,CC(CN)C(=O)O
LMFA01100054,2,86.0594 104.0711,32.29 49.84,CC(CN)C(=O)O
LMFA01100054,6,57.0337 58.0652 59.0291 75.0442 86.06 104.0706,61.2 40.4 6.5 7.4 72 57.9,CC(CN)C(=O)O
LMFA01100054,5,57.0337 58.0654 59.0688 86.0603 104.0708,3.7 100 3.9 8.8 8.6,CC(CN)C(=O)O
LMFA01100054,5,57.0338 75.044 83.013 86.0601 104.0706,52.3 5.1 2.6 100 37.4,CC(CN)C(=O)O
LMFA01100054,11,30.0323 41.0384 45.0357 45.052 57.035 57.0508 57.0618 58.0667 58.0825 59.0495 59.0655,35 26.8 28.8 6.7 100 20.8 3.2 37.7 9.6 28.8 5,CC(CN)C(=O)O
LMFA01100054,2,42.0328 43.0251,100 67.5,CC(CN)C(=O)O
LMFA01100054,6,45.0319 57.0337 57.0427 57.0611 86.0592 104.0674,11.9 100 91.8 5 56.2 8.7,CC(CN)C(=O)O
LMFA01100054,8,39.022 41.0373 41.0668 43.9824 44.9954 45.0325 45.0512 55.0178,29.4 61.2 1.1 13.9 17.9 100 2 16.8,CC(CN)C(=O)O
LMFA01100054,11,41.0378 43.0171 43.0527 43.9829 44.9957 45.0373 57.0333 57.0729 59.0462 75.0432 86.0588,7.2 2.4 2.8 12.9 16.2 2.8 100 1.5 5.9 1.4 12,CC(CN)C(=O)O
LMFA01100054,8,57.0328 57.0622 57.073 59.0478 75.0427 75.0583 86.0593 104.0693,92.2 1.9 1.3 3 7.6 1.2 100 32.5,CC(CN)C(=O)O
LMFA01100054,13,56.048 57.033 57.034 58.065 59.049 59.069 62.081 66.071 70.065 75.044 78.077 88.075 88.076,0.0013828 0.12554 1 0.047897 0.092594 0.0067025 0.0050906 0.0017172 0.074731 0.098084 0.0012497 0.0026769 0.0060681,CC(CN)C(=O)O
LMFA01100054,6,42.0352 43.0393 44.0506 56.045 56.0471 58.0654,6.278 1.6377 1.2283 0.40944 0.81887 100,CC(CN)C(=O)O
LMFA01100054,5,57.0343 60.0815 75.0446 86.0605 104.0708,34.6055 0.70277 4.1287 82.0959 100,CC(CN)C(=O)O
LMFA01100054,5,57.0343 60.0815 75.0446 86.0605 104.0708,34.6055 0.70277 4.1287 82.0959 100,CC(CN)C(=O)O
LMFA01100055,4,68.0503 86.06 114.0548 132.066,10.4734 100 82.163 17.7356,NCC(=O)CCC(=O)O
LMFA01100055,4,68.0503 86.06 114.0548 132.066,10.4734 100 82.163 17.7356,NCC(=O)CCC(=O)O
LMFA01100055,14,53.0389 55.0181 68.0496 69.0337 72.0446 73.0286 86.0601 87.0633 88.0757 96.0446 97.0284 114.0552 115.0389 132.0655,3 8.7 7.3 1.4 4.4 3.5 100 2.5 4.7 4.6 1.7 72.4 4 5.4,NCC(=O)CCC(=O)O
LMFA01100055,17,55.0182 58.0621 58.0653 58.0686 60.0443 68.0495 70.0651 72.0442 72.0806 73.0283 86.0601 87.0632 88.0759 96.0444 114.055 115.0396 132.0655,10.6 3.5 48.2 3 1.7 6.1 6.3 5.3 1.7 3.4 100 2.6 2.2 5.1 70.8 2.2 6.1,NCC(=O)CCC(=O)O
LMFA01100055,13,53.0388 55.0182 60.0446 68.0496 69.0337 72.0444 73.0284 86.06 96.0444 97.0285 114.055 115.0389 132.0654,1.4 3.7 0.5 7.8 0.8 2.3 2.1 100 4 1 56.3 1.6 4.7,NCC(=O)CCC(=O)O
LMFA01100055,18,43.0542 44.0496 53.0393 54.0314 55.0178 60.0438 68.0491 68.0655 69.0326 70.064 72.0439 73.0278 78.0351 86.06 96.0451 114.0547 115.0404 132.0655,0.9 1.6 1 1.8 8.4 1.4 16.2 1.1 1.3 1.5 1.9 10 2.7 100 9.4 68.1 3.5 11,NCC(=O)CCC(=O)O
LMFA01100055,25,41.038 41.065 43.0545 45.033 53.0382 53.0627 54.0335 55.0176 55.0417 56.0485 60.0448 60.0711 68.0488 69.0323 72.043 73.0273 73.0589 78.0329 85.0256 86.06 87.0117 96.0428 97.0291 114.0533 117.0549,39.7 0.8 8 17.4 26.5 1 9.1 95.7 1.6 6.5 12.1 0.5 83.4 16.3 15.4 41.4 0.6 3.9 7.1 100 1.9 13.5 3.1 8.3 3.6,NCC(=O)CCC(=O)O
LMFA01100055,10,41.0383 42.0328 43.0163 44.0481 53.0374 54.0333 55.0173 55.0469 58.0658 68.0484,3.5 13.5 30.6 26.1 14.2 29.6 100 3.1 9.4 11.4,NCC(=O)CCC(=O)O
LMFA01100055,14,41.0385 42.0621 43.0169 43.0276 43.0374 45.0338 53.05 55.0177 55.0348 55.0542 58.0658 58.0816 68.0499 68.0667,25.8 3.1 59.8 21.5 2.9 63.7 61.5 100 16.9 1.7 83.5 17.4 32 6.6,NCC(=O)CCC(=O)O
